HOMO-LUMO,homo-lumo図,Hartree,eV,eV_round,x_軸
LUMO+30,286,0.09634,2.621546276,2.622,3
LUMO+29,285,0.09577,2.606035778,2.606,3
LUMO+28,284,0.09489,2.5820897460000003,2.582,3
LUMO+27,283,0.09378,2.551885092,2.552,3
LUMO+26,282,0.09241,2.514605474,2.515,3
LUMO+25,281,0.09129,2.484128706,2.484,3
LUMO+24,280,0.08903,2.422630942,2.423,3
LUMO+23,279,0.08867,2.412834838,2.413,3
LUMO+22,278,0.0854,2.3238535600000003,2.324,3
LUMO+21,277,0.0787,2.1415371800000003,2.142,3
LUMO+20,276,0.07612,2.071331768,2.071,3
LUMO+19,275,0.07526,2.0479299639999997,2.048,3
LUMO+18,274,0.07371,2.005752294,2.006,3
LUMO+17,273,0.07253,1.973642842,1.974,3
LUMO+16,272,0.07129,1.9399007060000002,1.94,3
LUMO+15,271,0.07001,1.9050701140000001,1.905,3
LUMO+14,270,0.06946,1.890103844,1.89,3
LUMO+13,269,0.06429,1.749420906,1.749,3
LUMO+12,268,0.06065,1.6503714100000002,1.65,3
LUMO+11,267,0.04072,1.108048208,1.108,3
LUMO+10,266,0.02941,0.800287274,0.8,3
LUMO+9,265,0.0284,0.7728037600000001,0.773,3
LUMO+8,264,0.02756,0.749946184,0.75,3
LUMO+7,263,0.0212,0.5768816800000001,0.577,3
LUMO+6,262,0.01833,0.498784962,0.499,3
LUMO+5,261,0.01688,0.459328432,0.459,3
LUMO+4,260,0.01523,0.41442962200000005,0.414,3
LUMO+3,259,0.01439,0.391572046,0.392,3
LUMO+2,258,0.01354,0.368442356,0.368,3
LUMO+1,257,0.00106,0.028844084,0.029,3
LUMO,256,-0.01327,-0.361095278,-0.361,3
HOMO,255,-0.10555,-2.87216327,-2.872,3
HOMO-1,254,-0.11113,-3.0240028820000004,-3.024,3
HOMO-2,253,-0.12597,-3.427820058,-3.428,3
HOMO-3,252,-0.14087,-3.833269918,-3.833,3
HOMO-4,251,-0.15405,-4.19191617,-4.192,3
HOMO-5,250,-0.15831,-4.307836734,-4.308,3
HOMO-6,249,-0.16429,-4.470560906,-4.471,3
HOMO-7,248,-0.16531,-4.498316534000001,-4.498,3
HOMO-8,247,-0.16666,-4.535051924,-4.535,3
HOMO-9,246,-0.16966,-4.616686124,-4.617,3
HOMO-10,245,-0.1816,-4.941590240000001,-4.942,3
HOMO-11,244,-0.18888,-5.139689232,-5.14,3
HOMO-12,243,-0.19746,-5.373163044,-5.373,3
HOMO-13,242,-0.21194,-5.767184116,-5.767,3
HOMO-14,241,-0.21387,-5.819702118,-5.82,3
HOMO-15,240,-0.21429,-5.831130906,-5.831,3
HOMO-16,239,-0.21525,-5.85725385,-5.857,3
HOMO-17,238,-0.2175,-5.9184795,-5.918,3
HOMO-18,237,-0.2214,-6.02460396,-6.025,3
HOMO-19,236,-0.22415,-6.09943531,-6.099,3
HOMO-20,235,-0.22583,-6.145150462,-6.145,3
HOMO-21,234,-0.23073,-6.278486322,-6.278,3
HOMO-22,233,-0.24033,-6.539715762,-6.54,3
HOMO-23,232,-0.24173,-6.577811722,-6.578,3
HOMO-24,231,-0.24456,-6.654819984,-6.655,3
HOMO-25,230,-0.24839,-6.759039646000001,-6.759,3
HOMO-26,229,-0.25139,-6.8406738460000005,-6.841,3
HOMO-27,228,-0.2566,-6.9824452400000006,-6.982,3
HOMO-28,227,-0.27949,-7.605314186000001,-7.605,3
HOMO-29,226,-0.28117,-7.651029338,-7.651,3
HOMO-30,225,-0.28493,-7.753344202000001,-7.753,3
