Excited_State,eV,nm,f
1,1.8820,658.78,0.1845
4,2.5592,484.46,0.1172
11,2.9258,423.76,0.0605
12,2.9569,419.30,0.1499
13,3.0039,412.75,0.3617
15,3.0614,404.99,0.1630
16,3.1136,398.20,0.0809
17,3.1513,393.44,0.2214
20,3.2456,382.00,0.1434
21,3.3018,375.51,0.0310
36,3.7280,332.58,0.0335
37,3.7715,328.74,0.0752
39,3.8051,325.84,0.0355
42,3.8501,322.03,0.0965
44,3.8899,318.73,0.0646
48,4.0163,308.70,0.1237
61,4.2661,290.63,0.0875
62,4.2796,289.71,0.0439
63,4.2830,289.48,0.0566
67,4.3679,283.86,0.0517
72,4.4122,281.00,0.0451
